District,Democratic Votes,Republican Votes,Total Votes,Year,State
5,103273,160184,280570,2016,Oklahoma
1,225391,139756,378095,2016,Oregon
2,106640,272952,380739,2016,Oregon
3,274687,0,382355,2016,Oregon
4,220628,157743,397568,2016,Oregon
5,199505,160443,373108,2016,Oregon
1,245791,53219,299010,2016,Pennsylvania
2,280439,29661,310100,2016,Pennsylvania
3,322514,35131,357645,2016,Pennsylvania
4,0,244893,244893,2016,Pennsylvania
5,113372,220628,334000,2016,Pennsylvania
6,101082,206761,307843,2016,Pennsylvania
7,155000,207469,362469,2016,Pennsylvania
8,153824,225678,379502,2016,Pennsylvania
9,173555,207263,380818,2016,Pennsylvania
10,107985,186580,294565,2016,Pennsylvania
11,89823,211282,301105,2016,Pennsylvania
12,113800,199421,313221,2016,Pennsylvania
13,137353,221851,359204,2016,Pennsylvania
14,239316,0,239316,2016,Pennsylvania
15,255293,87999,343292,2016,Pennsylvania
16,124129,190618,326474,2016,Pennsylvania
17,134586,168669,313773,2016,Pennsylvania
18,157734,135430,293164,2016,Pennsylvania
19,0,293684,293684,2016,Pennsylvania
1,130540,71023,202377,2016,Rhode Island
2,133108,70301,229148,2016,Rhode Island
1,119779,190410,325170,2016,South Carolina
2,109452,183746,304996,2016,South Carolina
3,73766,198431,272481,2016,South Carolina
4,91676,198648,295670,2016,South Carolina
5,115437,175909,297781,2016,South Carolina
6,177947,70099,253901,2016,South Carolina
7,112744,176468,289463,2016,South Carolina
1,132810,237163,369973,2016,South Dakota
1,39024,198293,253025,2016,Tennessee
2,68401,212455,280856,2016,Tennessee
3,76727,176613,266006,2016,Tennessee
4,89141,165796,254937,2016,Tennessee
5,171111,102433,273544,2016,Tennessee
6,61995,202234,284490,2016,Tennessee
7,65226,200407,277513,2016,Tennessee
8,70925,194386,282733,2016,Tennessee
9,171631,41123,217957,2016,Tennessee
1,62847,192434,260409,2016,Texas
2,100231,168692,278236,2016,Texas
3,109420,193684,316467,2016,Texas
4,0,216643,246220,2016,Texas
5,0,155469,192875,2016,Texas
6,106667,159444,273296,2016,Texas
7,111991,143542,255533,2016,Texas
8,0,236379,236379,2016,Texas
9,152032,36491,188523,2016,Texas
10,120170,179221,312600,2016,Texas
11,0,201871,225548,2016,Texas
12,76029,196482,283115,2016,Texas
13,0,199050,221242,2016,Texas
14,99054,160631,259685,2016,Texas
15,101712,66877,177479,2016,Texas
16,150228,0,175229,2016,Texas
17,86603,149417,245728,2016,Texas
18,150157,48306,204308,2016,Texas
19,0,176314,203475,2016,Texas
20,149640,0,187669,2016,Texas
21,129765,202967,356031,2016,Texas
22,123679,181864,305543,2016,Texas
23,107526,110577,228965,2016,Texas
24,108389,154845,275635,2016,Texas
25,117073,180988,310196,2016,Texas
26,94507,211730,319080,2016,Texas
27,88329,142251,230580,2016,Texas
28,122086,57740,184442,2016,Texas
29,95649,31646,131982,2016,Texas
30,170502,41518,218826,2016,Texas
31,103852,166060,284588,2016,Texas
32,0,162868,229171,2016,Texas
33,93147,33222,126369,2016,Texas
34,104638,62323,166961,2016,Texas
35,124612,62384,197576,2016,Texas
36,0,193675,218565,2016,Texas
1,73381,182928,277455,2016,Utah
2,93780,170542,276841,2016,Utah
3,75716,209589,285305,2016,Utah
4,113413,147597,274569,2016,Utah
1,0,264414,295334,2016,Vermont
1,140785,230213,384601,2016,Virginia
2,119440,190475,310567,2016,Virginia
3,208337,103289,312340,2016,Virginia
4,200136,145731,346656,2016,Virginia
5,148339,207758,356756,2016,Virginia
6,112170,225471,338409,2016,Virginia
7,160159,218057,379163,2016,Virginia
8,246653,98387,360676,2016,Virginia
9,87877,212838,310314,2016,Virginia
10,187712,210791,400083,2016,Virginia
11,247818,0,282003,2016,Virginia
1,193619,155779,349398,2016,Washington
2,208314,117094,325408,2016,Washington
3,119820,193457,313277,2016,Washington
4,0,229919,229919,2016,Washington
5,130575,192959,323534,2016,Washington
6,201718,126116,327834,2016,Washington
7,378754,0,378754,2016,Washington
8,127720,193145,320865,2016,Washington
9,205165,76317,281482,2016,Washington
10,170460,120104,290564,2016,Washington
1,73534,163469,237003,2016,West Virginia
2,101207,140807,242014,2016,West Virginia
3,49708,140741,207332,2016,West Virginia
1,107003,230072,354245,2016,Wisconsin
2,273537,124044,398060,2016,Wisconsin
3,257401,169,260370,2016,Wisconsin
4,220181,0,286909,2016,Wisconsin
5,114477,260706,390844,2016,Wisconsin
6,133072,204147,357183,2016,Wisconsin
7,138643,223418,362271,2016,Wisconsin
8,135684,227892,363280,2016,Wisconsin
1,75466,156176,251776,2016,Wyoming
1,89226,153228,242617,2018,Alabama
2,86931,138879,226230,2018,Alabama
3,83996,147770,231915,2018,Alabama
4,46492,184255,230969,2018,Alabama
5,101388,159063,260673,2018,Alabama
6,85644,192542,278328,2018,Alabama
7,185010,0,189163,2018,Alabama
1,0,149779,282166,2018,Alaska
1,143240,122784,266089,2018,Arizona
2,161000,133083,294152,2018,Arizona
3,114650,64868,179518,2018,Arizona
4,84521,188842,277035,2018,Arizona
5,127027,186037,313064,2018,Arizona
6,140559,173140,313699,2018,Arizona
7,113044,301,132051,2018,Arizona
8,135569,168835,304417,2018,Arizona
9,159583,101662,261245,2018,Arizona
1,57907,138757,201245,2018,Arkansas
2,116135,132125,253453,2018,Arkansas
3,74952,148717,229568,2018,Arkansas
4,63984,136740,204892,2018,Arkansas
1,131548,160046,291594,2018,California
2,243081,72576,315657,2018,California
3,134875,97376,232251,2018,California
4,156253,184401,340654,2018,California
5,205860,0,261018,2018,California
6,201939,0,201939,2018,California
7,155016,126601,281617,2018,California
8,0,170785,170785,2018,California
9,113414,87349,200763,2018,California
10,115945,105955,221900,2018,California
11,204369,71312,275681,2018,California
12,275292,41780,317072,2018,California
13,260580,0,294837,2018,California
14,211384,55439,266823,2018,California
15,177989,65940,243929,2018,California
16,82266,60693,142959,2018,California
17,159105,52057,211162,2018,California
18,225142,77096,302238,2018,California
19,162496,57823,220319,2018,California
20,183677,0,225721,2018,California
21,57239,56377,113616,2018,California
22,105136,117243,222379,2018,California
23,74661,131113,205774,2018,California
24,166550,117881,284431,2018,California
25,133209,111813,245022,2018,California
26,158216,97210,255426,2018,California
27,202636,0,202636,2018,California
28,196662,54272,250934,2018,California
29,124697,29995,154692,2018,California
30,191573,69420,260993,2018,California
31,110143,77352,187495,2018,California
32,121759,55272,177031,2018,California
33,219091,93769,312860,2018,California
34,110195,0,151906,2018,California
35,103420,45604,149024,2018,California
36,122169,84839,207008,2018,California
37,210555,25823,236378,2018,California
38,139188,62968,202156,2018,California
39,126002,118391,244393,2018,California
40,93938,0,121449,2018,California
41,108227,58021,166248,2018,California
42,100892,131040,231932,2018,California
43,152272,43780,196052,2018,California
44,143322,0,143322,2018,California
45,158906,146383,305289,2018,California
46,102278,45638,147916,2018,California
47,143354,77682,221036,2018,California
48,157837,136899,294736,2018,California
49,166453,128577,295030,2018,California
50,125448,134362,259810,2018,California
51,109527,44301,153828,2018,California
52,188992,107015,296007,2018,California
53,185667,83127,268794,2018,California
1,272886,85207,369715,2018,Colorado
2,259608,144901,430765,2018,Colorado
3,146426,173205,336201,2018,Colorado
4,145544,224038,369620,2018,Colorado
5,126848,184002,322716,2018,Colorado
6,187639,148685,346822,2018,Colorado
7,204260,119734,338067,2018,Colorado
1,166155,96024,274140,2018,Connecticut
2,167659,102483,289114,2018,Connecticut
3,163211,95667,270239,2018,Connecticut
4,168726,103175,275651,2018,Connecticut
5,142901,115146,270664,2018,Connecticut
1,227353,125384,353814,2018,Delaware
1,106199,216189,322388,2018,Florida
2,96233,199335,295568,2018,Florida
3,129880,176616,306496,2018,Florida
4,123351,248420,381249,2018,Florida
5,180527,89799,270326,2018,Florida
6,145758,187891,333649,2018,Florida
7,183113,134285,317398,2018,Florida
8,142415,218112,360527,2018,Florida
9,172172,124565,296737,2018,Florida
10,0,0,0,2018,Florida
11,128053,239395,367506,2018,Florida
12,132844,194564,334918,2018,Florida
13,182717,134254,316971,2018,Florida
14,0,0,0,2018,Florida
15,134132,151380,285532,2018,Florida
16,164463,197483,361946,2018,Florida
17,117194,193326,310520,2018,Florida
18,156454,185905,342359,2018,Florida
19,128106,211465,339607,2018,Florida
20,202659,0,202824,2018,Florida
21,0,0,0,2018,Florida
22,184634,113049,297683,2018,Florida
23,161611,99446,276366,2018,Florida
24,0,0,0,2018,Florida
25,84173,128672,212845,2018,Florida
26,119797,115678,235475,2018,Florida
27,130743,115588,252586,2018,Florida
1,105942,144741,250683,2018,Georgia
2,136699,92472,229171,2018,Georgia
3,101010,191996,293006,2018,Georgia
4,227717,61092,288809,2018,Georgia
5,275406,0,275406,2018,Georgia
6,160139,156875,317014,2018,Georgia
7,140011,140430,280441,2018,Georgia
8,0,198152,198152,2018,Georgia
9,57912,224661,282573,2018,Georgia
10,112339,190396,302735,2018,Georgia
11,118653,191887,310540,2018,Georgia
12,101503,148986,250489,2018,Georgia
13,223157,69760,292917,2018,Georgia
14,53981,175743,229724,2018,Georgia
1,134650,42498,184348,2018,Hawaii
2,153271,44850,198174,2018,Hawaii
1,96922,197719,315069,2018,Idaho
2,110381,170274,280655,2018,Idaho
1,189560,50960,257885,2018,Illinois
2,190684,44567,235251,2018,Illinois
3,163053,57885,223334,2018,Illinois
4,143895,22294,166189,2018,Illinois
5,213992,65134,279131,2018,Illinois
6,169001,146445,315446,2018,Illinois
7,215746,30497,246243,2018,Illinois
8,130054,67073,197127,2018,Illinois
9,213368,76983,290351,2018,Illinois
10,156540,82124,238664,2018,Illinois
11,145407,82358,227765,2018,Illinois
12,118724,134884,261543,2018,Illinois
13,134458,136516,270981,2018,Illinois
14,156035,141164,297199,2018,Illinois
15,74309,181294,255608,2018,Illinois
16,104569,151254,255825,2018,Illinois
17,142659,87090,229749,2018,Illinois
18,95486,195927,291413,2018,Illinois
1,159611,85594,245209,2018,Indiana
2,103363,125499,228889,2018,Indiana
3,86610,158927,245537,2018,Indiana
4,87824,156539,244363,2018,Indiana
5,137142,180035,317177,2018,Indiana
6,79430,154260,241726,2018,Indiana
7,141139,76457,217596,2018,Indiana
8,86895,157396,244291,2018,Indiana
9,118090,153271,271361,2018,Indiana
1,170342,153442,334243,2018,Iowa
2,171446,133287,312913,2018,Iowa
3,175642,167933,356241,2018,Iowa
4,147246,157676,313045,2018,Iowa
1,71558,153082,224640,2018,Kansas
2,123859,126098,264688,2018,Kansas
3,170518,139762,318301,2018,Kansas
4,98445,144248,242693,2018,Kansas
1,78849,172167,251016,2018,Kentucky
2,79964,171700,257345,2018,Kentucky
3,173002,101930,278720,2018,Kentucky
4,90536,162946,261812,2018,Kentucky
5,45890,172093,218017,2018,Kentucky
6,144736,154468,302888,2018,Kentucky
1,71521,192555,269325,2018,Louisiana
2,190182,0,235982,2018,Louisiana
3,74713,168263,245943,2018,Louisiana
4,72934,139326,216872,2018,Louisiana
5,67118,149018,223946,2018,Louisiana
6,76716,186553,268525,2018,Louisiana
1,201195,111188,342053,2018,Maine
2,142440,138931,281371,2018,Maine
1,116631,183662,306186,2018,Maryland
2,167201,77782,253302,2018,Maryland
3,202407,82774,292880,2018,Maryland
4,209642,53327,268583,2018,Maryland
5,213796,82361,304209,2018,Maryland
6,163346,105209,277084,2018,Maryland
7,202345,56266,264710,2018,Maryland
8,217679,96525,319330,2018,Maryland
1,211790,0,216900,2018,Massachusetts
2,191332,93391,284893,2018,Massachusetts
3,173175,93445,279327,2018,Massachusetts
4,245289,0,251016,2018,Massachusetts
5,236243,74856,311324,2018,Massachusetts
6,217703,104798,333975,2018,Massachusetts
7,216557,0,220409,2018,Massachusetts
8,259159,0,263307,2018,Massachusetts
9,192347,131463,323928,2018,Massachusetts
1,145246,187251,332497,2018,Michigan
2,131254,168970,305463,2018,Michigan
3,134185,169107,310740,2018,Michigan
4,106540,178510,285050,2018,Michigan
5,164502,99265,276413,2018,Michigan
6,134082,147436,293438,2018,Michigan
7,136330,158730,295060,2018,Michigan
8,172880,159782,341593,2018,Michigan
9,181734,112123,304563,2018,Michigan
10,106061,182808,303064,2018,Michigan
11,181912,158463,350901,2018,Michigan
12,200588,85115,294628,2018,Michigan
13,165355,0,196299,2018,Michigan
14,214334,45899,264994,2018,Michigan
1,2175003,1853459,291661,2018,Minnesota
2,2175003,1853459,337968,2018,Minnesota
3,2175003,1853459,363949,2018,Minnesota
4,2175003,1853459,328614,2018,Minnesota
5,2175003,1853459,343358,2018,Minnesota
6,2175003,1853459,315726,2018,Minnesota
7,2175003,1853459,281509,2018,Minnesota
8,2175003,1853459,314211,2018,Minnesota
1,76601,158245,236521,2018,Mississippi
2,158921,0,221379,2018,Mississippi
3,94461,160284,257271,2018,Mississippi
4,68787,152633,223732,2018,Mississippi
1,219781,45867,274375,2018,Missouri
2,177611,192477,376066,2018,Missouri
3,106589,211243,324608,2018,Missouri
4,95968,190138,293316,2018,Missouri
5,175019,101069,283785,2018,Missouri
6,97660,199796,305409,2018,Missouri
7,89190,196343,296455,2018,Missouri
8,66151,194042,264399,2018,Missouri
1,233284,256661,504421,2018,Montana
1,93069,141712,234781,2018,Nebraska
2,121770,126715,248485,2018,Nebraska
3,49654,163650,213304,2018,Nebraska
1,100707,46978,152201,2018,Nevada
2,120102,167435,287537,2018,Nevada
3,148501,122566,286168,2018,Nevada
4,121962,102748,234868,2018,Nevada
1,155884,130996,291039,2018,New Hampshire
2,155358,117990,279705,2018,New Hampshire
1,169628,87617,263418,2018,New Jersey
2,136685,116866,258363,2018,New Jersey
3,153473,149500,306875,2018,New Jersey
4,126766,163065,294348,2018,New Jersey
5,169546,128255,301823,2018,New Jersey
6,140752,80443,221195,2018,New Jersey
7,166985,150785,322742,2018,New Jersey
8,119881,28725,153455,2018,New Jersey
9,140832,57854,200416,2018,New Jersey
10,175253,20191,200159,2018,New Jersey
11,183684,136322,323574,2018,New Jersey
12,173334,79041,252375,2018,New Jersey
1,147336,90507,249162,2018,New Mexico
2,101489,97767,199256,2018,New Mexico
3,148501,76427,244893,2018,New Mexico
1,127991,139027,270006,2018,New York
2,113074,128078,241152,2018,New York
3,157456,109514,266970,2018,New York
4,159535,100571,260106,2018,New York
5,160500,0,160500,2018,New York
6,111646,0,122855,2018,New York
7,146687,0,157097,2018,New York
8,180376,0,263307,2018,New York
9,181455,20901,203135,2018,New York
10,173095,37619,210714,2018,New York
11,101823,89441,192038,2018,New York
12,217430,30446,251604,2018,New York
13,180035,10268,190303,2018,New York
14,110318,19202,141122,2018,New York
15,124469,5205,129674,2018,New York
16,182044,0,182044,2018,New York
17,170168,0,193318,2018,New York
18,139564,112035,251599,2018,New York
19,147873,132873,287894,2018,New York
20,176811,89058,265869,2018,New York
21,99791,131981,235209,2018,New York
22,127715,123242,250957,2018,New York
23,109932,130323,279327,2018,New York
24,123226,136920,260146,2018,New York
25,159244,110736,269980,2018,New York
26,169166,61488,230654,2018,New York
27,139059,140146,285178,2018,New York
1,190457,82218,272675,2018,North Carolina
2,151977,170072,331704,2018,North Carolina
3,0,187901,187901,2018,North Carolina
4,247067,82052,341403,2018,North Carolina
5,120468,159917,280385,2018,North Carolina
6,123651,160709,284360,2018,North Carolina
7,120838,156809,282312,2018,North Carolina
8,114119,141402,255521,2018,North Carolina
9,138341,139246,282717,2018,North Carolina
10,113259,164969,278228,2018,North Carolina
11,116508,178012,300666,2018,North Carolina
12,203974,75164,279138,2018,North Carolina
13,130402,147570,286316,2018,North Carolina
1,114377,193568,321532,2018,North Dakota
1,141118,154409,300871,2018,Ohio
2,119333,166714,289661,2018,Ohio
3,181575,65040,246677,2018,Ohio
4,89412,167993,257405,2018,Ohio
5,99655,176569,283617,2018,Ohio
6,76716,172774,249490,2018,Ohio
7,107536,153117,260653,2018,Ohio
8,87281,173852,261133,2018,Ohio
9,157219,74670,231937,2018,Ohio
10,118785,157554,281726,2018,Ohio
11,206138,44486,250660,2018,Ohio
12,161251,175677,341647,2018,Ohio
13,153323,98047,251370,2018,Ohio
14,137549,169809,307358,2018,Ohio
15,116112,170593,292443,2018,Ohio
16,129681,170029,299710,2018,Ohio
1,103042,150129,253171,2018,Oklahoma
2,65021,140451,216002,2018,Oklahoma
3,61152,172913,234065,2018,Oklahoma
4,78088,149227,236638,2018,Oklahoma
5,121149,117811,238960,2018,Oklahoma
1,231198,116446,363249,2018,Oregon
2,145298,207597,368709,2018,Oregon
3,279019,76187,384326,2018,Oregon
4,208710,152414,372893,2018,Oregon
5,197187,149887,358469,2018,Oregon
1,160745,169053,329798,2018,Pennsylvania
2,159600,42382,201982,2018,Pennsylvania
3,287610,20387,307997,2018,Pennsylvania
4,211524,121467,332991,2018,Pennsylvania
5,198639,106075,304714,2018,Pennsylvania
6,177704,124124,301828,2018,Pennsylvania
7,140813,114437,263261,2018,Pennsylvania
8,135603,112563,248166,2018,Pennsylvania
9,100204,148723,248927,2018,Pennsylvania
10,141668,149365,291033,2018,Pennsylvania
11,113876,163708,277584,2018,Pennsylvania
12,82825,161047,243872,2018,Pennsylvania
13,74733,178533,253266,2018,Pennsylvania
14,110051,151386,261437,2018,Pennsylvania
15,78327,165245,243572,2018,Pennsylvania
16,124109,135348,262396,2018,Pennsylvania
17,183162,142417,325579,2018,Pennsylvania
18,231472,0,240924,2018,Pennsylvania
1,116099,57567,174083,2018,Rhode Island
2,126476,72271,199197,2018,Rhode Island
1,145455,141473,287433,2018,South Carolina
2,109199,144642,257139,2018,South Carolina
3,70046,153338,226204,2018,South Carolina
4,89182,145321,243950,2018,South Carolina
5,103129,141757,248579,2018,South Carolina
6,144765,58282,206433,2018,South Carolina
7,96564,142681,239554,2018,South Carolina
1,120816,202446,335471,2018,South Dakota
1,47138,172835,224282,2018,Tennessee
2,86668,172856,262134,2018,Tennessee
3,84731,156512,245765,2018,Tennessee
4,78065,147323,232451,2018,Tennessee
5,177923,84317,262248,2018,Tennessee
6,70370,172810,248740,2018,Tennessee
7,81661,170071,254384,2018,Tennessee
8,74755,168030,248345,2018,Tennessee
9,145139,34901,181476,2018,Tennessee
1,61263,168165,232720,2018,Texas
2,119992,139188,263392,2018,Texas
3,138234,169520,312358,2018,Texas
4,57400,188667,249245,2018,Texas
5,78666,130617,209507,2018,Texas
6,116350,135961,256042,2018,Texas
7,127959,115642,243601,2018,Texas
8,67930,200619,273170,2018,Texas
9,136256,0,153001,2018,Texas
10,144034,157166,307827,2018,Texas
11,40631,176603,220377,2018,Texas
12,90994,172557,268491,2018,Texas
13,35083,169027,207285,2018,Texas
14,92212,138942,234528,2018,Texas
15,98333,63862,164802,2018,Texas
16,124437,49127,181754,2018,Texas
17,98070,134841,237351,2018,Texas
18,138704,38368,184332,2018,Texas
19,50039,151946,201985,2018,Texas
20,139038,0,171963,2018,Texas
21,168421,177654,353617,2018,Texas
22,138153,152750,297405,2018,Texas
23,102359,103285,210069,2018,Texas
24,125231,133317,263418,2018,Texas
25,136385,163023,304553,2018,Texas
26,121938,185551,312505,2018,Texas
27,75929,125118,207421,2018,Texas
28,117494,0,139226,2018,Texas
29,88188,28098,117494,2018,Texas
30,166784,0,183174,2018,Texas
31,136362,144680,286007,2018,Texas
32,144067,126101,275620,2018,Texas
33,90805,26120,119224,2018,Texas
34,85825,57243,143068,2018,Texas
35,138278,50553,194067,2018,Texas
36,60908,161048,221956,2018,Texas
1,63308,156692,254333,2018,Utah
2,105051,151489,270044,2018,Utah
3,70686,174856,258858,2018,Utah
4,134964,134270,269271,2018,Utah
1,188547,70705,272451,2018,Vermont
1,148464,183250,332101,2018,Virginia
2,139571,133458,273400,2018,Virginia
3,198615,0,217722,2018,Virginia
4,187642,107706,299854,2018,Virginia
5,145040,165339,310926,2018,Virginia
6,113133,167957,281377,2018,Virginia
7,176079,169295,349803,2018,Virginia
8,247137,76899,324748,2018,Virginia
9,85833,160933,246980,2018,Virginia
10,206356,160841,367795,2018,Virginia
11,219191,83023,308250,2018,Virginia
1,197209,135534,332743,2018,Washington
2,210187,0,294833,2018,Washington
3,145407,161819,307226,2018,Washington
4,83785,141551,225336,2018,Washington
5,144925,175422,320347,2018,Washington
6,206409,116677,323086,2018,Washington
7,329800,64881,394681,2018,Washington
8,164089,148968,313057,2018,Washington
9,240567,0,240567,2018,Washington
10,166215,103860,270075,2018,Washington
1,70217,127997,198214,2018,West Virginia
2,88011,110504,204792,2018,West Virginia
3,76340,98645,174985,2018,West Virginia
1,137508,177492,325317,2018,Wisconsin
2,309116,0,317295,2018,Wisconsin
3,187888,126980,314989,2018,Wisconsin
4,206487,59091,273087,2018,Wisconsin
5,138385,225619,364288,2018,Wisconsin
6,144536,180311,325065,2018,Wisconsin
7,124307,194061,322840,2018,Wisconsin
8,119265,209410,328774,2018,Wisconsin
1,59903,127963,201245,2018,Wyoming
1,116949,211825,329075,2020,Alabama
2,105286,197996,303569,2020,Alabama
3,104595,217384,322234,2020,Alabama
4,56237,261553,318029,2020,Alabama
5,0,253094,264160,2020,Alabama
6,0,274160,282261,2020,Alabama
7,225742,0,232331,2020,Alabama
1,0,192126,353165,2020,Alaska
1,188469,176709,365178,2020,Arizona
2,209945,170975,381054,2020,Arizona
3,174243,95594,269837,2020,Arizona
4,120484,278002,398623,2020,Arizona
5,183171,262414,445657,2020,Arizona
6,199644,217783,417427,2020,Arizona
7,165452,50226,215732,2020,Arizona
8,170816,251633,422467,2020,Arizona
9,217094,135180,352274,2020,Arizona
1,0,237596,237596,2020,Arkansas
2,148410,184093,332503,2020,Arkansas
3,106325,214960,334262,2020,Arkansas
4,75750,191617,275035,2020,Arkansas
1,154073,204190,358263,2020,California
2,294435,94320,388755,2020,California
3,176036,145941,321977,2020,California
4,194731,247291,442022,2020,California
5,271233,85227,356460,2020,California
6,229648,83466,313114,2020,California
7,217416,166549,383965,2020,California
8,124400,158711,283111,2020,California
9,174252,128358,302610,2020,California
10,166865,135629,302494,2020,California
11,271063,100293,371356,2020,California
12,362950,0,362950,2020,California
13,327863,34955,362818,2020,California
14,278227,72684,350911,2020,California
15,242991,99710,342701,2020,California
16,128690,88039,216729,2020,California
17,212137,85199,297336,2020,California
18,344127,0,344127,2020,California
19,224385,88642,313027,2020,California
20,236896,71658,308554,2020,California
21,84406,85928,170334,2020,California
22,144251,170888,315139,2020,California
23,115896,190222,306118,2020,California
24,212564,149781,362345,2020,California
25,169305,169638,338943,2020,California
26,208856,135877,344733,2020,California
27,221411,95907,317318,2020,California
28,244471,91928,336399,2020,California
29,210944,0,210944,2020,California
30,240038,105426,345464,2020,California
31,175315,110735,286050,2020,California
32,172942,86818,259760,2020,California
33,257094,123334,380428,2020,California
34,205346,0,205346,2020,California
35,169405,74941,244346,2020,California
36,185051,121640,306691,2020,California
37,254916,41705,296621,2020,California
38,256206,0,256206,2020,California
39,169837,173946,343783,2020,California
40,135572,50809,186381,2020,California
41,167938,94289,262227,2020,California
42,157773,210274,368047,2020,California
43,199210,78688,277898,2020,California
44,206036,0,0,2020,California
45,221843,193096,414939,2020,California
46,157803,71716,229519,2020,California
47,197028,114371,311399,2020,California
48,193362,201738,395100,2020,California
49,205349,181157,386506,2020,California
50,166859,195510,362369,2020,California
51,165596,76841,242437,2020,California
52,244145,152350,396495,2020,California
53,199244,0,199244,2020,California
1,331621,105955,450290,2020,Colorado
2,316925,182547,515663,2020,Colorado
3,194122,220634,429319,2020,Colorado
4,173945,285606,475107,2020,Colorado
5,161600,249013,432407,2020,Colorado
6,250314,175192,438473,2020,Colorado
7,250525,159301,423691,2020,Colorado
1,222668,122111,349237,2020,Connecticut
2,217982,140340,367181,2020,Connecticut
3,203265,137596,346101,2020,Connecticut
4,223832,130627,360125,2020,Connecticut
5,192484,151988,349524,2020,Connecticut
1,281382,196392,488270,2020,Delaware
1,149172,283352,438532,2020,Florida
2,0,305337,311999,2020,Florida
3,167326,223075,390401,2020,Florida
4,196423,308497,504940,2020,Florida
5,219463,117510,336973,2020,Florida
6,172351,265393,437856,2020,Florida
7,224946,175750,406449,2020,Florida
8,177695,282093,459788,2020,Florida
9,240724,188889,429638,2020,Florida
10,239434,136889,376397,2020,Florida
11,158094,316979,475073,2020,Florida
12,168194,284941,453135,2020,Florida
13,215405,190720,406125,2020,Florida
14,224240,147896,372136,2020,Florida
15,174297,216374,390671,2020,Florida
16,215683,269001,484684,2020,Florida
17,140487,266514,412397,2020,Florida
18,186674,253286,449720,2020,Florida
19,172146,272440,444589,2020,Florida
20,253661,68748,322409,2020,Florida
21,237925,157616,403093,2020,Florida
22,235764,166553,402317,2020,Florida
23,221239,158957,381196,2020,Florida
24,218825,59101,289638,2020,Florida
25,0,0,289638,2020,Florida
26,165407,177223,342630,2020,Florida
27,166758,176217,342975,2020,Florida
1,135238,189457,324695,2020,Georgia
2,161397,111620,273017,2020,Georgia
3,129792,241526,371318,2020,Georgia
4,278906,69393,348299,2020,Georgia
5,301857,52646,354503,2020,Georgia
6,216775,180329,397104,2020,Georgia
7,190900,180564,371464,2020,Georgia
8,109264,198701,307965,2020,Georgia
9,79797,292750,372547,2020,Georgia
10,142636,235810,378446,2020,Georgia
11,160623,245259,405882,2020,Georgia
12,129061,181038,309544,2020,Georgia
13,279045,81476,360521,2020,Georgia
14,77798,229827,307625,2020,Georgia
1,183245,71188,254433,2020,Hawaii
2,171517,84027,272102,2020,Hawaii
1,131380,310736,458569,2020,Idaho
2,124151,250669,391333,2020,Idaho
1,239943,85027,325123,2020,Illinois
2,234896,63142,298038,2020,Illinois
3,172997,133851,306848,2020,Illinois
4,187219,35518,222737,2020,Illinois
5,255661,96200,361271,2020,Illinois
6,213777,183891,404747,2020,Illinois
7,249383,41390,310128,2020,Illinois
8,186251,0,254578,2020,Illinois
9,262045,107125,369170,2020,Illinois
10,202402,114442,316874,2020,Illinois
11,194557,112807,307377,2020,Illinois
12,127577,194839,322416,2020,Illinois
13,151648,181373,333021,2020,Illinois
14,203209,197835,401052,2020,Illinois
15,88559,244947,333506,2020,Illinois
16,119313,218839,338159,2020,Illinois
17,156011,143863,299895,2020,Illinois
18,110039,261840,371879,2020,Illinois
1,185180,132247,326948,2020,Indiana
2,114967,183601,298568,2020,Indiana
3,104762,220989,325751,2020,Indiana
4,112984,225531,338515,2020,Indiana
5,191226,208212,416226,2020,Indiana
6,91103,225318,328212,2020,Indiana
7,176422,106146,282568,2020,Indiana
8,95691,214643,320617,2020,Indiana
9,122566,222057,359038,2020,Indiana
1,201347,212088,413869,2020,Iowa
2,196958,196964,394625,2020,Iowa
3,219205,212997,447947,2020,Iowa
4,144761,237369,383022,2020,Iowa
1,84393,208229,292622,2020,Kansas
2,136650,185464,336315,2020,Kansas
3,220049,178773,410418,2020,Kansas
4,116166,203432,319598,2020,Kansas
1,82141,246329,328470,2020,Kentucky
2,94643,255735,360399,2020,Kentucky
3,230672,136425,367097,2020,Kentucky
4,125896,256613,382509,2020,Kentucky
5,47056,250914,297970,2020,Kentucky
6,155011,216948,378450,2020,Kentucky
1,94730,270330,374369,2020,Louisiana
2,235320,63140,316982,2020,Louisiana
3,100275,230480,340120,2020,Louisiana
4,101970,204608,306578,2020,Louisiana
5,99566,209990,309556,2020,Louisiana
6,95541,265706,373996,2020,Louisiana
1,271004,165008,436027,2020,Maine
2,197974,175228,373235,2020,Maine
1,143877,250901,395524,2020,Maryland
2,224836,106355,332026,2020,Maryland
3,260358,112117,373206,2020,Maryland
4,282119,71671,354529,2020,Maryland
5,274210,123525,398839,2020,Maryland
6,215540,143599,366434,2020,Maryland
7,237084,92825,330998,2020,Maryland
8,274716,127157,402614,2020,Maryland
1,275376,0,285332,2020,Massachusetts
2,249854,132220,382452,2020,Massachusetts
3,286896,0,293539,2020,Massachusetts
4,251102,160474,412823,2020,Massachusetts
5,294427,101351,396183,2020,Massachusetts
6,286377,150695,437677,2020,Massachusetts
7,267362,0,308650,2020,Massachusetts
