Year,State,State Abbr,State FIPS,District,Democratic %,Republican %,Voter Turnout %,Median Age,Median income,Male Population %,Female Population %,White %,White (non Hispanic or Latino) %,Hispanic or Latino %,Black %,American Indian %,Asian %,Pacific %,Multiracial %,Less than HS %,HS grad %,Some college %,Bachelor's degree %,Graduate degree %,Below poverty line %,Income under 25k %,Income 25k to 50k %,Income 50k to 75k %,Income above 75k %
2014,California,CA,6,43,70.96,29.04,15.68,34.0,23787,48.02,51.98,37.86,14.65,46.16,23.64,0.43,12.51,0.51,5.25,15.44,14.31,18.84,10.57,4.85,8.43,60.94,20.49,9.46,9.1
2014,California,CA,6,44,86.65,0.0,11.46,30.5,19467,49.12,50.88,45.8,6.78,69.19,16.3,0.75,5.79,0.62,4.05,21.89,14.67,15.26,5.01,1.71,14.28,69.32,19.05,6.95,4.68
2014,California,CA,6,45,34.88,65.12,23.96,38.7,41053,48.97,51.03,65.14,54.24,18.41,1.78,0.33,21.81,0.27,4.14,4.75,9.17,18.83,21.4,13.53,5.31,46.37,17.4,11.96,24.28
2014,California,CA,6,46,59.7,40.3,13.38,30.9,22109,50.33,49.67,56.66,18.37,66.63,1.78,0.46,11.97,0.24,2.47,20.96,14.09,14.55,7.65,2.75,13.69,64.65,21.39,8.03,5.93
2014,California,CA,6,47,55.99,44.01,18.68,36.2,26777,49.25,50.75,55.38,32.44,34.73,7.22,0.78,21.66,0.83,5.29,12.43,13.07,20.97,13.01,6.54,10.88,56.72,19.42,10.94,12.93
2014,California,CA,6,48,35.88,64.12,25.86,40.5,36183,49.39,50.61,67.89,56.82,21.0,1.13,0.32,17.8,0.3,3.73,7.71,10.91,21.68,19.66,10.99,6.61,47.47,18.98,12.05,21.5
2014,California,CA,6,49,39.83,60.17,27.04,36.6,32660,50.84,49.16,77.73,61.12,26.21,2.73,0.46,6.57,0.44,4.44,6.97,10.89,20.99,16.54,10.34,10.2,50.21,20.11,10.61,19.06
2014,California,CA,6,50,28.8,71.2,26.32,36.6,27869,49.24,50.76,80.26,58.39,29.91,2.4,1.13,5.18,0.37,4.84,10.41,14.93,23.52,11.23,5.37,13.91,55.8,20.89,10.61,12.7
2014,California,CA,6,51,68.79,31.21,13.12,31.0,19966,50.63,49.37,63.5,13.68,69.43,7.2,0.83,8.08,0.3,3.97,19.45,14.57,17.59,5.79,2.16,18.07,69.15,18.97,7.08,4.8
2014,California,CA,6,52,51.59,48.41,28.61,36.1,39929,50.42,49.58,69.6,60.2,13.21,2.99,0.49,19.35,0.4,4.83,3.34,8.46,18.64,21.78,16.32,7.09,44.79,19.0,13.2,23.01
2014,California,CA,6,53,58.84,41.16,22.25,34.7,31184,49.86,50.14,65.5,41.68,32.87,8.13,0.64,13.11,0.63,6.11,7.7,12.8,23.17,15.22,8.19,10.13,50.98,22.55,13.17,13.29
2014,Colorado,CO,8,1,65.81,28.97,44.21,34.6,31263,49.94,50.06,76.78,57.13,28.33,8.57,1.01,3.36,0.08,3.4,9.12,12.85,17.33,18.58,11.65,12.72,47.93,24.43,12.88,14.77
2014,Colorado,CO,8,2,56.74,43.26,56.47,37.2,31837,50.38,49.62,90.47,83.66,10.14,0.89,0.46,2.89,0.1,2.73,2.84,10.34,18.59,20.38,14.08,12.02,47.25,22.61,12.83,17.31
2014,Colorado,CO,8,3,35.7,57.98,49.29,39.3,25446,50.38,49.62,87.94,71.43,24.21,0.99,2.06,0.7,0.08,2.83,7.31,18.26,22.43,13.29,6.82,15.01,54.69,24.68,11.5,9.13
2014,Colorado,CO,8,4,29.22,64.67,50.69,36.6,30269,50.45,49.55,88.7,72.96,21.65,1.34,0.81,1.77,0.08,2.79,6.99,15.78,21.08,14.08,6.78,11.95,50.43,23.12,12.25,14.19
2014,Colorado,CO,8,5,40.2,59.8,45.08,35.3,28349,50.82,49.18,82.01,72.63,14.94,5.65,0.7,2.43,0.27,5.1,4.71,14.74,23.63,13.32,8.47,10.84,52.36,23.79,11.65,12.19
2014,Colorado,CO,8,6,42.99,51.9,46.86,35.5,33938,49.27,50.73,75.57,62.72,19.72,9.04,0.67,5.29,0.18,4.27,5.51,13.1,20.12,17.23,8.96,7.84,46.56,23.33,13.8,16.31
2014,Colorado,CO,8,7,55.07,44.93,45.34,35.9,31205,50.06,49.94,86.69,65.33,27.6,1.48,1.05,3.21,0.1,3.14,8.25,17.34,20.8,13.38,6.98,12.2,47.86,26.84,13.43,11.87
2014,Connecticut,CT,9,1,58.49,36.08,35.42,40.5,32995,48.28,51.72,71.46,63.49,15.54,14.94,0.23,4.75,0.04,3.25,7.94,19.15,17.99,13.83,10.41,6.71,46.82,22.75,14.52,15.92
2014,Connecticut,CT,9,2,57.6,35.46,38.54,41.2,32855,50.09,49.91,87.44,83.1,7.4,3.86,0.32,3.11,0.04,3.14,5.79,20.72,19.12,12.51,10.04,7.1,46.74,22.55,14.5,16.22
2014,Connecticut,CT,9,3,61.93,33.08,34.61,39.5,31608,47.91,52.09,75.42,67.52,13.44,13.35,0.23,4.06,0.02,2.37,6.89,20.81,17.1,12.79,11.04,7.3,48.48,22.47,14.05,15.0
2014,Connecticut,CT,9,4,51.01,44.37,32.58,39.3,36430,48.71,51.29,73.73,63.47,18.13,12.15,0.19,5.03,0.02,2.25,7.14,14.04,13.66,17.84,14.25,5.87,46.9,18.47,11.09,23.54
2014,Connecticut,CT,9,5,49.82,43.32,35.6,41.0,32175,48.7,51.3,80.28,71.74,16.77,6.57,0.15,3.34,0.03,2.75,8.01,19.73,17.39,13.5,10.15,8.38,48.28,22.02,13.22,16.49
2014,Delaware,DE,10,1,59.26,36.76,31.04,39.1,30062,48.41,51.59,69.72,64.36,8.57,21.59,0.34,3.46,0.05,2.61,8.1,21.35,18.32,11.85,8.08,7.77,49.99,24.85,13.09,12.07
2014,Florida,FL,12,1,23.36,70.15,40.21,38.4,25380,50.24,49.76,77.61,74.21,5.76,13.33,0.62,2.54,0.22,4.09,7.4,19.1,23.75,11.09,6.05,11.31,56.3,24.23,10.46,9.01
2014,Florida,FL,12,2,50.48,49.35,43.09,36.3,23753,50.62,49.38,69.51,65.53,5.55,24.57,0.48,1.92,0.04,2.51,9.3,19.06,19.55,10.55,6.88,12.67,60.51,23.15,9.01,7.33
2014,Florida,FL,12,3,32.3,64.98,39.17,38.3,23247,50.26,49.74,79.13,72.9,8.18,13.53,0.3,2.98,0.06,2.73,8.75,20.43,20.96,9.44,6.49,15.1,61.35,22.0,9.45,7.2
2014,Florida,FL,12,4,0.0,78.28,38.41,37.5,30019,48.97,51.03,77.24,71.03,8.03,13.79,0.32,4.49,0.09,2.98,6.39,19.11,22.61,13.82,6.55,10.31,50.93,25.77,12.22,11.07
2014,Florida,FL,12,5,65.47,34.53,30.43,34.2,19827,48.09,51.91,39.21,31.22,12.31,52.39,0.25,2.33,0.09,2.81,12.05,21.96,19.63,7.08,3.11,9.81,67.27,22.28,6.75,3.7
2014,Florida,FL,12,6,37.46,62.54,43.49,46.1,24455,48.65,51.35,84.42,79.35,7.21,9.37,0.27,1.92,0.07,2.02,7.92,21.73,23.24,12.71,6.99,12.97,58.04,23.26,9.51,9.2
2014,Florida,FL,12,7,32.14,63.6,37.48,37.7,26558,48.84,51.16,81.19,65.58,20.14,9.14,0.24,3.61,0.08,2.87,5.63,17.12,21.62,14.63,7.8,11.21,56.13,23.46,10.03,10.38
2014,Florida,FL,12,8,34.14,65.84,45.15,46.8,25039,48.76,51.24,83.73,76.32,9.58,9.96,0.27,2.0,0.07,2.58,7.54,21.73,24.59,12.14,7.32,12.09,56.79,23.51,9.97,9.73
2014,Florida,FL,12,9,53.97,43.11,27.31,34.7,22140,49.11,50.89,74.74,37.11,46.51,11.19,0.29,4.31,0.13,3.24,9.67,19.41,20.31,10.61,4.55,15.66,62.36,24.01,7.89,5.74
2014,Florida,FL,12,10,38.45,61.54,37.59,40.4,25894,49.04,50.96,76.78,64.76,16.61,12.43,0.29,3.92,0.07,2.63,8.07,20.51,21.44,13.32,6.74,11.16,55.69,25.09,9.89,9.33
2014,Florida,FL,12,11,33.34,66.66,44.1,51.9,21587,48.66,51.34,86.89,79.65,9.13,8.48,0.35,1.25,0.03,1.85,10.31,27.92,24.44,8.98,5.04,14.38,62.56,23.46,8.33,5.64
2014,Florida,FL,12,12,,,0.0,44.5,26288,48.4,51.6,88.79,78.67,12.17,4.65,0.26,2.65,0.07,2.41,7.34,22.16,23.06,13.09,6.57,12.44,55.17,23.45,10.87,10.51
2014,Florida,FL,12,13,0.0,75.22,35.54,47.2,26451,48.14,51.86,86.85,79.21,9.22,5.84,0.27,3.52,0.09,2.4,8.13,22.79,23.93,13.94,7.24,12.04,53.61,26.16,10.77,9.45
2014,Florida,FL,12,14,,,0.0,35.7,23963,48.84,51.16,63.03,41.18,28.27,26.45,0.7,2.91,0.09,2.77,10.43,20.07,19.22,11.48,6.1,13.5,58.8,24.2,8.99,8.0
2014,Florida,FL,12,15,39.72,60.28,36.59,37.4,26212,48.49,51.51,76.62,63.1,17.93,13.59,0.35,3.22,0.05,2.87,8.5,20.47,19.36,11.27,6.03,12.86,56.59,24.4,10.07,8.94
2014,Florida,FL,12,16,38.38,61.54,43.46,50.4,26367,48.0,52.0,87.83,78.76,11.5,6.64,0.28,1.6,0.04,1.67,7.39,23.34,22.72,13.43,9.08,11.16,53.4,25.45,10.89,10.27
2014,Florida,FL,12,17,36.76,63.24,37.0,46.7,22091,50.08,49.92,84.52,70.27,17.8,9.08,0.34,1.42,0.04,1.76,12.56,25.59,21.47,8.71,4.73,15.76,61.76,23.26,8.64,6.35
2014,Florida,FL,12,18,59.78,40.22,40.68,46.4,26934,48.42,51.58,80.47,69.55,14.49,12.42,0.32,1.97,0.07,2.13,8.16,21.02,22.99,13.47,8.06,10.03,53.7,23.89,10.49,11.93
2014,Florida,FL,12,19,32.74,64.55,38.6,48.7,26150,48.7,51.3,85.92,71.56,18.16,7.89,0.34,1.42,0.01,1.5,8.87,22.01,21.82,13.77,8.56,12.34,54.74,24.0,10.1,11.16
2014,Florida,FL,12,20,81.6,18.4,23.89,36.4,20524,48.49,51.51,40.23,24.08,20.28,52.77,0.28,1.94,0.04,2.21,13.66,22.51,18.21,8.09,3.59,8.48,66.38,21.86,7.55,4.22
2014,Florida,FL,12,21,99.63,0.0,23.07,43.5,27916,47.63,52.37,78.8,60.41,21.26,12.86,0.23,3.52,0.05,2.34,6.43,18.91,21.15,15.35,8.94,9.09,52.95,23.22,11.21,12.63
2014,Florida,FL,12,22,58.03,41.97,32.11,44.8,29288,50.41,49.59,81.45,63.47,21.36,11.6,0.19,2.18,0.06,2.09,8.63,17.98,21.52,17.3,10.05,12.0,50.7,23.32,11.36,14.63
2014,Florida,FL,12,23,62.67,37.33,22.95,40.9,27778,48.72,51.28,76.79,45.59,38.35,11.46,0.34,3.44,0.06,2.76,7.43,17.13,20.56,15.52,10.71,11.06,53.89,21.5,10.94,13.67
2014,Florida,FL,12,24,86.18,10.16,21.56,35.3,20344,47.62,52.38,37.53,12.14,31.65,55.98,0.14,1.73,0.03,1.71,13.93,20.65,18.15,8.58,4.78,9.93,67.34,20.21,7.22,5.23
2014,Florida,FL,12,25,,,0.0,39.1,21791,48.46,51.54,85.67,19.68,71.22,7.4,0.2,2.11,0.01,1.4,13.53,20.45,17.37,11.14,5.74,17.25,64.12,20.92,8.07,6.89
2014,Florida,FL,12,26,48.54,51.46,20.68,39.7,22759,49.23,50.77,84.85,19.78,68.52,10.01,0.21,1.79,0.04,1.42,12.2,19.55,18.97,12.55,6.11,14.76,62.59,21.16,8.8,7.45
2014,Florida,FL,12,27,,,0.0,39.8,20312,48.98,51.02,86.71,17.49,73.84,7.92,0.11,1.68,0.01,1.47,15.69,18.74,15.46,12.0,8.11,20.6,65.39,18.09,7.16,9.36
2014,Georgia,GA,13,1,39.09,60.91,28.48,34.7,24719,49.11,50.89,63.68,60.19,6.36,29.66,0.32,1.71,0.12,2.36,8.75,20.04,19.86,9.79,5.8,10.65,58.55,23.01,10.1,8.34
2014,Georgia,GA,13,2,59.15,40.85,30.68,35.2,19887,49.2,50.8,43.49,41.19,4.75,51.39,0.15,1.05,0.07,1.89,13.35,21.46,18.51,6.29,4.0,7.59,67.11,20.36,7.59,4.95
2014,Georgia,GA,13,3,0.0,100.0,29.04,37.6,25966,48.48,51.52,71.02,67.21,5.55,23.52,0.23,1.74,0.02,2.23,9.53,20.53,19.03,10.15,5.74,10.78,56.94,22.39,11.19,9.48
2014,Georgia,GA,13,4,99.93,0.0,28.26,35.1,25978,47.18,52.82,30.73,26.26,9.27,58.12,0.2,4.82,0.06,2.17,8.24,16.35,20.78,11.98,6.9,5.23,57.31,23.53,11.02,8.15
2014,Georgia,GA,13,5,100.0,0.0,29.06,33.2,24968,48.76,51.24,32.79,28.34,7.84,58.46,0.25,4.03,0.02,2.1,8.89,15.34,15.89,14.89,10.36,5.19,58.61,20.39,9.68,11.31
2014,Georgia,GA,13,6,33.96,66.04,35.55,37.5,39253,49.7,50.3,71.34,62.51,12.3,13.13,0.32,10.07,0.06,2.32,4.61,9.42,14.99,24.56,14.39,6.99,45.59,18.84,12.52,23.06
2014,Georgia,GA,13,7,34.61,65.39,29.43,34.8,30855,49.49,50.51,58.88,48.47,18.86,18.74,0.37,11.97,0.03,2.45,7.29,13.92,17.67,16.53,7.49,7.2,52.85,21.61,11.45,14.09
